instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,success
1879,24/03/2011,2,0,3,1,0,4,1,2,0.3,0.2879,1,0.2239,0,3,3,FALSE
1880,24/03/2011,2,0,3,2,0,4,1,2,0.3,0.2879,1,0.2537,0,6,6,FALSE
1881,24/03/2011,2,0,3,3,0,4,1,2,0.28,0.2727,1,0.194,1,0,1,FALSE
1882,24/03/2011,2,0,3,4,0,4,1,2,0.28,0.2727,1,0.194,0,1,1,FALSE
1883,24/03/2011,2,0,3,5,0,4,1,2,0.28,0.2727,0.93,0.2239,1,8,9,FALSE
1884,24/03/2011,2,0,3,6,0,4,1,2,0.28,0.2727,0.93,0.2239,0,41,41,FALSE
1885,24/03/2011,2,0,3,7,0,4,1,3,0.26,0.2576,1,0.2239,2,106,108,FALSE
1886,24/03/2011,2,0,3,8,0,4,1,3,0.26,0.2273,1,0.2985,4,120,124,FALSE
1887,24/03/2011,2,0,3,9,0,4,1,2,0.26,0.2576,0.93,0.2239,3,94,97,FALSE
1888,24/03/2011,2,0,3,10,0,4,1,2,0.26,0.2273,0.93,0.3284,10,55,65,FALSE
1889,24/03/2011,2,0,3,11,0,4,1,2,0.3,0.2727,0.81,0.2985,10,61,71,FALSE
1890,24/03/2011,2,0,3,12,0,4,1,2,0.3,0.2727,0.7,0.3284,12,82,94,FALSE
1891,24/03/2011,2,0,3,13,0,4,1,2,0.32,0.303,0.7,0.2239,11,90,101,FALSE
1892,24/03/2011,2,0,3,14,0,4,1,2,0.3,0.303,0.7,0.1343,17,66,83,FALSE
1893,24/03/2011,2,0,3,15,0,4,1,2,0.3,0.2879,0.7,0.2537,13,77,90,FALSE
1894,24/03/2011,2,0,3,16,0,4,1,2,0.3,0.2879,0.65,0.2239,6,78,84,FALSE
1895,24/03/2011,2,0,3,17,0,4,1,2,0.3,0.2879,0.7,0.2239,12,221,233,TRUE
1896,24/03/2011,2,0,3,18,0,4,1,2,0.3,0.2727,0.61,0.2985,17,197,214,TRUE
1897,24/03/2011,2,0,3,19,0,4,1,1,0.3,0.2727,0.56,0.3881,16,122,138,FALSE
1898,24/03/2011,2,0,3,20,0,4,1,1,0.28,0.2576,0.61,0.2836,8,110,118,FALSE
1899,24/03/2011,2,0,3,21,0,4,1,1,0.26,0.2576,0.65,0.2239,11,67,78,FALSE
1900,24/03/2011,2,0,3,22,0,4,1,1,0.26,0.2576,0.65,0.1642,3,59,62,FALSE
1901,24/03/2011,2,0,3,23,0,4,1,1,0.24,0.2273,0.65,0.194,9,24,33,FALSE
1902,25/03/2011,2,0,3,0,0,5,1,1,0.24,0.2273,0.6,0.194,1,17,18,FALSE
1903,25/03/2011,2,0,3,1,0,5,1,1,0.2,0.2121,0.69,0.1642,0,5,5,FALSE
1904,25/03/2011,2,0,3,2,0,5,1,1,0.2,0.197,0.69,0.2239,0,5,5,FALSE
1905,25/03/2011,2,0,3,3,0,5,1,1,0.2,0.2273,0.69,0.1045,0,2,2,FALSE
1906,25/03/2011,2,0,3,4,0,5,1,1,0.18,0.2121,0.74,0.1045,3,2,5,FALSE
1907,25/03/2011,2,0,3,5,0,5,1,1,0.18,0.197,0.74,0.1642,0,9,9,FALSE
1908,25/03/2011,2,0,3,6,0,5,1,1,0.18,0.1818,0.74,0.2239,0,32,32,FALSE
1909,25/03/2011,2,0,3,7,0,5,1,1,0.2,0.1818,0.59,0.3582,4,100,104,FALSE
1910,25/03/2011,2,0,3,8,0,5,1,1,0.22,0.2121,0.51,0.2836,9,228,237,TRUE
1911,25/03/2011,2,0,3,9,0,5,1,1,0.24,0.2121,0.48,0.2985,16,150,166,FALSE
1912,25/03/2011,2,0,3,10,0,5,1,1,0.26,0.2576,0.48,0,15,53,68,FALSE
1913,25/03/2011,2,0,3,11,0,5,1,1,0.3,0.2879,0.45,0.2836,17,58,75,FALSE
1914,25/03/2011,2,0,3,12,0,5,1,1,0.32,0.303,0.42,0.2537,37,108,145,FALSE
1915,25/03/2011,2,0,3,13,0,5,1,1,0.32,0.3182,0.39,0.194,34,104,138,FALSE
1916,25/03/2011,2,0,3,14,0,5,1,1,0.36,0.3333,0.32,0.3284,30,103,133,FALSE
1917,25/03/2011,2,0,3,15,0,5,1,2,0.34,0.3182,0.36,0.2537,43,79,122,FALSE
1918,25/03/2011,2,0,3,16,0,5,1,2,0.34,0.303,0.34,0.2985,23,127,150,FALSE
1919,25/03/2011,2,0,3,17,0,5,1,2,0.32,0.2879,0.36,0.3582,23,202,225,TRUE
1920,25/03/2011,2,0,3,18,0,5,1,1,0.3,0.2879,0.39,0.2537,8,190,198,TRUE
1921,25/03/2011,2,0,3,19,0,5,1,2,0.3,0.2879,0.36,0.2836,9,126,135,FALSE
1922,25/03/2011,2,0,3,20,0,5,1,2,0.3,0.303,0.39,0.1343,6,75,81,FALSE
1923,25/03/2011,2,0,3,21,0,5,1,2,0.3,0.303,0.39,0.1642,11,64,75,FALSE
1924,25/03/2011,2,0,3,22,0,5,1,2,0.28,0.2576,0.38,0.3284,3,40,43,FALSE
1925,25/03/2011,2,0,3,23,0,5,1,2,0.26,0.2424,0.38,0.2836,8,31,39,FALSE
1926,26/03/2011,2,0,3,0,0,6,0,2,0.26,0.2424,0.38,0.2836,3,25,28,FALSE
1927,26/03/2011,2,0,3,1,0,6,0,1,0.26,0.2273,0.38,0.2985,3,24,27,FALSE
1928,26/03/2011,2,0,3,2,0,6,0,1,0.22,0.2121,0.44,0.2239,4,21,25,FALSE
1929,26/03/2011,2,0,3,3,0,6,0,1,0.2,0.197,0.47,0.194,2,7,9,FALSE
1930,26/03/2011,2,0,3,4,0,6,0,1,0.22,0.2121,0.44,0.2239,2,4,6,FALSE
1931,26/03/2011,2,0,3,5,0,6,0,1,0.2,0.197,0.51,0.194,0,8,8,FALSE
1932,26/03/2011,2,0,3,6,0,6,0,1,0.18,0.1818,0.55,0.194,2,8,10,FALSE
1933,26/03/2011,2,0,3,7,0,6,0,1,0.2,0.197,0.51,0.194,18,23,41,FALSE
1934,26/03/2011,2,0,3,8,0,6,0,1,0.22,0.2273,0.44,0.1343,24,42,66,FALSE
1935,26/03/2011,2,0,3,9,0,6,0,1,0.24,0.2424,0.41,0.1343,32,68,100,FALSE
1936,26/03/2011,2,0,3,10,0,6,0,1,0.26,0.2576,0.41,0.1642,32,93,125,FALSE
1937,26/03/2011,2,0,3,11,0,6,0,1,0.28,0.2727,0.38,0.1642,75,93,168,FALSE
1938,26/03/2011,2,0,3,12,0,6,0,1,0.3,0.2879,0.36,0.194,98,129,227,TRUE
1939,26/03/2011,2,0,3,13,0,6,0,1,0.32,0.303,0.33,0.2239,94,145,239,TRUE
1940,26/03/2011,2,0,3,14,0,6,0,1,0.34,0.3182,0.29,0.2239,93,123,216,TRUE
1941,26/03/2011,2,0,3,15,0,6,0,1,0.34,0.3333,0.29,0.194,110,109,219,TRUE
1942,26/03/2011,2,0,3,16,0,6,0,1,0.34,0.3333,0.23,0.194,118,130,248,TRUE
1943,26/03/2011,2,0,3,17,0,6,0,1,0.32,0.303,0.24,0.2239,102,101,203,TRUE
1944,26/03/2011,2,0,3,18,0,6,0,2,0.32,0.3182,0.21,0.1642,64,89,153,FALSE
1945,26/03/2011,2,0,3,19,0,6,0,2,0.28,0.2727,0.45,0.2537,45,93,138,FALSE
1946,26/03/2011,2,0,3,20,0,6,0,2,0.28,0.2727,0.45,0.2537,18,67,85,FALSE
1947,26/03/2011,2,0,3,21,0,6,0,2,0.26,0.2576,0.44,0.194,15,36,51,FALSE
1948,26/03/2011,2,0,3,22,0,6,0,2,0.28,0.2727,0.41,0.2239,17,46,63,FALSE
1949,26/03/2011,2,0,3,23,0,6,0,2,0.26,0.2424,0.44,0.2836,10,31,41,FALSE
1950,27/03/2011,2,0,3,0,0,0,0,2,0.26,0.2576,0.41,0.1642,5,26,31,FALSE
1951,27/03/2011,2,0,3,1,0,0,0,2,0.24,0.2273,0.52,0.194,3,17,20,FALSE
1952,27/03/2011,2,0,3,2,0,0,0,3,0.22,0.2273,0.55,0.194,6,15,21,FALSE
1953,27/03/2011,2,0,3,3,0,0,0,3,0.2,0.197,0.69,0.2239,0,14,14,FALSE
1954,27/03/2011,2,0,3,4,0,0,0,3,0.18,0.197,0.74,0.1642,1,5,6,FALSE
1955,27/03/2011,2,0,3,6,0,0,0,3,0.16,0.1818,0.86,0.1343,0,2,2,FALSE
1956,27/03/2011,2,0,3,7,0,0,0,3,0.16,0.1667,0.86,0.1642,0,7,7,FALSE
1957,27/03/2011,2,0,3,8,0,0,0,1,0.2,0.197,0.69,0.2239,6,8,14,FALSE
1958,27/03/2011,2,0,3,9,0,0,0,1,0.22,0.2273,0.55,0.1343,17,37,54,FALSE
1959,27/03/2011,2,0,3,10,0,0,0,2,0.22,0.2121,0.55,0.2239,27,59,86,FALSE
1960,27/03/2011,2,0,3,11,0,0,0,2,0.24,0.2424,0.48,0.1642,23,85,108,FALSE
1961,27/03/2011,2,0,3,12,0,0,0,2,0.26,0.2576,0.44,0.2239,43,120,163,FALSE
1962,27/03/2011,2,0,3,13,0,0,0,1,0.3,0.2879,0.39,0.2239,47,100,147,FALSE
1963,27/03/2011,2,0,3,14,0,0,0,1,0.32,0.3182,0.36,0.1642,61,103,164,FALSE
1964,27/03/2011,2,0,3,15,0,0,0,1,0.32,0.303,0.36,0.2836,61,111,172,FALSE
1965,27/03/2011,2,0,3,16,0,0,0,1,0.34,0.3333,0.34,0,45,98,143,FALSE
1966,27/03/2011,2,0,3,17,0,0,0,1,0.32,0.303,0.31,0.2537,50,109,159,FALSE
1967,27/03/2011,2,0,3,18,0,0,0,1,0.3,0.2879,0.33,0.194,32,105,137,FALSE
1968,27/03/2011,2,0,3,19,0,0,0,1,0.3,0.2879,0.31,0.2239,23,80,103,FALSE
1969,27/03/2011,2,0,3,20,0,0,0,1,0.28,0.2727,0.36,0.1642,7,50,57,FALSE
1970,27/03/2011,2,0,3,21,0,0,0,1,0.26,0.2576,0.41,0.1642,7,29,36,FALSE
1971,27/03/2011,2,0,3,22,0,0,0,1,0.26,0.2576,0.41,0.1642,5,25,30,FALSE
1972,27/03/2011,2,0,3,23,0,0,0,1,0.26,0.2576,0.44,0.194,3,16,19,FALSE
1973,28/03/2011,2,0,3,0,0,1,1,1,0.22,0.2273,0.55,0.194,1,11,12,FALSE
1974,28/03/2011,2,0,3,1,0,1,1,1,0.22,0.2273,0.44,0.194,2,4,6,FALSE
1975,28/03/2011,2,0,3,2,0,1,1,1,0.22,0.2273,0.44,0.1642,0,5,5,FALSE
1976,28/03/2011,2,0,3,3,0,1,1,1,0.22,0.2273,0.44,0.1642,0,2,2,FALSE
1977,28/03/2011,2,0,3,5,0,1,1,1,0.18,0.1818,0.43,0.194,0,8,8,FALSE
1978,28/03/2011,2,0,3,6,0,1,1,1,0.18,0.1667,0.34,0.2836,0,40,40,FALSE
1979,28/03/2011,2,0,3,7,0,1,1,1,0.2,0.1818,0.32,0.3284,6,104,110,FALSE
1980,28/03/2011,2,0,3,8,0,1,1,1,0.2,0.197,0.34,0.2239,15,239,254,TRUE
1981,28/03/2011,2,0,3,9,0,1,1,2,0.22,0.2121,0.32,0.2239,12,109,121,FALSE
1982,28/03/2011,2,0,3,10,0,1,1,1,0.24,0.2273,0.3,0.194,22,47,69,FALSE
1983,28/03/2011,2,0,3,11,0,1,1,2,0.26,0.2424,0.3,0.2836,18,39,57,FALSE
1984,28/03/2011,2,0,3,12,0,1,1,2,0.26,0.2727,0.25,0,8,71,79,FALSE
1985,28/03/2011,2,0,3,13,0,1,1,2,0.3,0.2879,0.24,0.2239,14,69,83,FALSE
1986,28/03/2011,2,0,3,14,0,1,1,1,0.32,0.303,0.22,0.2239,15,65,80,FALSE
1987,28/03/2011,2,0,3,15,0,1,1,1,0.32,0.303,0.24,0.2836,19,53,72,FALSE
1988,28/03/2011,2,0,3,16,0,1,1,1,0.34,0.3182,0.23,0.2239,15,117,132,FALSE
1989,28/03/2011,2,0,3,17,0,1,1,1,0.34,0.303,0.23,0.2985,25,227,252,TRUE
1990,28/03/2011,2,0,3,18,0,1,1,1,0.32,0.303,0.21,0.2836,21,220,241,TRUE
1991,28/03/2011,2,0,3,19,0,1,1,1,0.3,0.303,0.22,0.1343,17,156,173,FALSE
1992,28/03/2011,2,0,3,20,0,1,1,1,0.32,0.3333,0.22,0.1045,5,107,112,FALSE
1993,28/03/2011,2,0,3,21,0,1,1,1,0.32,0.3333,0.21,0.1343,6,55,61,FALSE
1994,28/03/2011,2,0,3,22,0,1,1,1,0.3,0.2879,0.22,0.2239,0,40,40,FALSE
1995,28/03/2011,2,0,3,23,0,1,1,1,0.28,0.2576,0.24,0.2985,1,18,19,FALSE
1996,29/03/2011,2,0,3,0,0,2,1,1,0.26,0.2273,0.28,0.3284,1,15,16,FALSE
1997,29/03/2011,2,0,3,1,0,2,1,1,0.24,0.2121,0.32,0.2985,0,4,4,FALSE
1998,29/03/2011,2,0,3,2,0,2,1,1,0.24,0.2121,0.32,0.2985,0,3,3,FALSE
1999,29/03/2011,2,0,3,3,0,2,1,1,0.24,0.2121,0.32,0.2985,2,1,3,FALSE
2000,29/03/2011,2,0,3,4,0,2,1,1,0.2,0.2121,0.44,0.1642,1,1,2,FALSE
2001,29/03/2011,2,0,3,5,0,2,1,1,0.22,0.2121,0.37,0.2537,0,8,8,FALSE
2002,29/03/2011,2,0,3,6,0,2,1,1,0.22,0.2121,0.41,0.2985,4,46,50,FALSE
2003,29/03/2011,2,0,3,7,0,2,1,1,0.22,0.197,0.41,0.3582,5,128,133,FALSE
2004,29/03/2011,2,0,3,8,0,2,1,1,0.24,0.2121,0.35,0.3582,19,268,287,TRUE
2005,29/03/2011,2,0,3,9,0,2,1,1,0.28,0.2576,0.28,0.3881,16,156,172,FALSE
2006,29/03/2011,2,0,3,10,0,2,1,1,0.3,0.2727,0.24,0.2985,13,46,59,FALSE
2007,29/03/2011,2,0,3,11,0,2,1,2,0.34,0.303,0.25,0.3881,18,63,81,FALSE
2008,29/03/2011,2,0,3,12,0,2,1,1,0.34,0.3333,0.25,0.1642,29,77,106,FALSE
2009,29/03/2011,2,0,3,13,0,2,1,1,0.34,0.303,0.25,0.2985,24,80,104,FALSE
2010,29/03/2011,2,0,3,14,0,2,1,1,0.36,0.3333,0.25,0.2537,20,66,86,FALSE
2011,29/03/2011,2,0,3,15,0,2,1,1,0.38,0.3939,0.25,0.2239,22,65,87,FALSE
2012,29/03/2011,2,0,3,16,0,2,1,1,0.38,0.3939,0.22,0.1642,12,124,136,FALSE
2013,29/03/2011,2,0,3,17,0,2,1,1,0.4,0.4091,0.2,0.1343,34,265,299,TRUE
2014,29/03/2011,2,0,3,18,0,2,1,1,0.36,0.3636,0.21,0.0896,42,252,294,TRUE
2015,29/03/2011,2,0,3,19,0,2,1,1,0.34,0.3333,0.23,0.194,20,170,190,TRUE
2016,29/03/2011,2,0,3,20,0,2,1,1,0.36,0.3636,0.21,0.0896,13,119,132,FALSE
2017,29/03/2011,2,0,3,21,0,2,1,1,0.34,0.3636,0.42,0,8,75,83,FALSE
2018,29/03/2011,2,0,3,22,0,2,1,1,0.34,0.3636,0.49,0,6,49,55,FALSE
2019,29/03/2011,2,0,3,23,0,2,1,2,0.32,0.3333,0.57,0.1045,8,27,35,FALSE
2020,30/03/2011,2,0,3,0,0,3,1,2,0.32,0.3485,0.57,0,3,8,11,FALSE
2021,30/03/2011,2,0,3,1,0,3,1,1,0.32,0.3485,0.39,0,1,9,10,FALSE
2022,30/03/2011,2,0,3,2,0,3,1,2,0.32,0.3485,0.57,0,0,4,4,FALSE
2023,30/03/2011,2,0,3,3,0,3,1,2,0.32,0.3485,0.49,0,0,4,4,FALSE
2024,30/03/2011,2,0,3,4,0,3,1,2,0.32,0.3485,0.57,0,1,0,1,FALSE
2025,30/03/2011,2,0,3,5,0,3,1,2,0.3,0.2879,0.56,0.194,0,7,7,FALSE
2026,30/03/2011,2,0,3,6,0,3,1,2,0.3,0.303,0.49,0.1343,4,44,48,FALSE
2027,30/03/2011,2,0,3,7,0,3,1,2,0.32,0.3333,0.45,0.1045,8,128,136,FALSE
2028,30/03/2011,2,0,3,8,0,3,1,2,0.32,0.3182,0.49,0.1642,16,247,263,TRUE
2029,30/03/2011,2,0,3,9,0,3,1,2,0.32,0.303,0.45,0.2239,7,147,154,FALSE
2030,30/03/2011,2,0,3,10,0,3,1,2,0.34,0.3182,0.46,0.2239,13,51,64,FALSE
2031,30/03/2011,2,0,3,11,0,3,1,2,0.34,0.3182,0.46,0.2537,26,64,90,FALSE
2032,30/03/2011,2,0,3,12,0,3,1,2,0.34,0.3333,0.46,0.1642,15,65,80,FALSE
2033,30/03/2011,2,0,3,13,0,3,1,2,0.36,0.3485,0.46,0.2239,14,84,98,FALSE
2034,30/03/2011,2,0,3,14,0,3,1,2,0.36,0.3333,0.46,0.2985,16,64,80,FALSE
2035,30/03/2011,2,0,3,15,0,3,1,3,0.28,0.2576,0.81,0.2985,14,56,70,FALSE
2036,30/03/2011,2,0,3,16,0,3,1,3,0.28,0.2727,0.87,0.2537,0,36,36,FALSE
2037,30/03/2011,2,0,3,17,0,3,1,3,0.26,0.2727,0.93,0.1045,11,105,116,FALSE
2038,30/03/2011,2,0,3,18,0,3,1,2,0.26,0.2576,0.93,0.2239,6,79,85,FALSE
2039,30/03/2011,2,0,3,19,0,3,1,2,0.26,0.2576,0.93,0.2239,5,67,72,FALSE
2040,30/03/2011,2,0,3,20,0,3,1,3,0.24,0.2121,0.93,0.2985,4,40,44,FALSE
2041,30/03/2011,2,0,3,21,0,3,1,2,0.24,0.2273,0.93,0.2537,0,27,27,FALSE
2042,30/03/2011,2,0,3,22,0,3,1,3,0.24,0.2273,0.93,0.2239,3,21,24,FALSE
2043,30/03/2011,2,0,3,23,0,3,1,3,0.24,0.2121,0.93,0.2836,1,11,12,FALSE
2044,31/03/2011,2,0,3,0,0,4,1,3,0.24,0.2273,0.93,0.2239,0,3,3,FALSE
2045,31/03/2011,2,0,3,1,0,4,1,3,0.24,0.2273,0.93,0.194,1,4,5,FALSE
2046,31/03/2011,2,0,3,2,0,4,1,3,0.24,0.2273,0.93,0.194,0,5,5,FALSE
2047,31/03/2011,2,0,3,3,0,4,1,3,0.24,0.2273,0.93,0.2239,0,1,1,FALSE
2048,31/03/2011,2,0,3,4,0,4,1,3,0.24,0.2273,0.93,0.2537,0,2,2,FALSE
2049,31/03/2011,2,0,3,5,0,4,1,3,0.24,0.2273,0.93,0.2239,0,8,8,FALSE
2050,31/03/2011,2,0,3,6,0,4,1,3,0.24,0.2121,0.93,0.2985,2,34,36,FALSE
2051,31/03/2011,2,0,3,7,0,4,1,3,0.24,0.2273,0.93,0.2537,5,87,92,FALSE
2052,31/03/2011,2,0,3,8,0,4,1,2,0.24,0.2273,1,0.2537,7,185,192,TRUE
2053,31/03/2011,2,0,3,9,0,4,1,3,0.26,0.2424,0.93,0.2537,6,126,132,FALSE
2054,31/03/2011,2,0,3,10,0,4,1,3,0.26,0.2424,0.93,0.2537,15,54,69,FALSE
2055,31/03/2011,2,0,3,11,0,4,1,3,0.28,0.2727,0.93,0.194,6,52,58,FALSE
2056,31/03/2011,2,0,3,12,0,4,1,3,0.28,0.2727,0.93,0.194,17,73,90,FALSE
2057,31/03/2011,2,0,3,13,0,4,1,3,0.3,0.303,0.87,0.1343,13,55,68,FALSE
2058,31/03/2011,2,0,3,14,0,4,1,3,0.3,0.303,0.87,0.1343,27,49,76,FALSE
2059,31/03/2011,2,0,3,15,0,4,1,3,0.3,0.2727,0.87,0.2985,4,61,65,FALSE
2060,31/03/2011,2,0,3,16,0,4,1,2,0.3,0.2879,0.87,0.2537,13,72,85,FALSE
2061,31/03/2011,2,0,3,17,0,4,1,2,0.3,0.2879,0.87,0.2537,15,153,168,FALSE
2062,31/03/2011,2,0,3,18,0,4,1,2,0.3,0.303,0.87,0.1343,12,165,177,FALSE
2063,31/03/2011,2,0,3,19,0,4,1,2,0.3,0.303,0.87,0.1343,12,118,130,FALSE
2064,31/03/2011,2,0,3,20,0,4,1,3,0.28,0.2576,0.93,0.2836,6,79,85,FALSE
2065,31/03/2011,2,0,3,21,0,4,1,2,0.28,0.2727,0.93,0.1642,7,53,60,FALSE
2066,31/03/2011,2,0,3,22,0,4,1,3,0.28,0.2727,0.93,0.2537,7,44,51,FALSE
2067,31/03/2011,2,0,3,23,0,4,1,3,0.26,0.2576,1,0.1642,4,23,27,FALSE
2068,01/04/2011,2,0,4,0,0,5,1,3,0.26,0.2576,1,0.1642,0,6,6,FALSE
2069,01/04/2011,2,0,4,1,0,5,1,3,0.26,0.2576,1,0.1642,0,4,4,FALSE
2070,01/04/2011,2,0,4,2,0,5,1,3,0.26,0.2576,0.93,0.194,0,7,7,FALSE
2071,01/04/2011,2,0,4,3,0,5,1,2,0.24,0.2273,0.93,0.2537,0,4,4,FALSE
2072,01/04/2011,2,0,4,4,0,5,1,2,0.24,0.2273,0.93,0.2537,0,3,3,FALSE
2073,01/04/2011,2,0,4,5,0,5,1,3,0.24,0.2273,0.93,0.2239,1,11,12,FALSE
2074,01/04/2011,2,0,4,6,0,5,1,3,0.24,0.2273,0.93,0.2239,2,26,28,FALSE
2075,01/04/2011,2,0,4,7,0,5,1,3,0.24,0.2424,0.93,0,4,91,95,FALSE
2076,01/04/2011,2,0,4,8,0,5,1,2,0.26,0.2424,0.87,0.2537,8,198,206,TRUE
2077,01/04/2011,2,0,4,9,0,5,1,1,0.32,0.2879,0.7,0.3582,11,162,173,FALSE
2078,01/04/2011,2,0,4,10,0,5,1,1,0.32,0.303,0.66,0.2836,12,63,75,FALSE
2079,01/04/2011,2,0,4,11,0,5,1,1,0.32,0.2879,0.61,0.3582,17,72,89,FALSE
2080,01/04/2011,2,0,4,12,0,5,1,1,0.34,0.303,0.53,0.3582,15,80,95,FALSE
2081,01/04/2011,2,0,4,13,0,5,1,1,0.36,0.3333,0.5,0.3582,18,92,110,FALSE
2082,01/04/2011,2,0,4,14,0,5,1,2,0.36,0.3333,0.46,0.3582,26,61,87,FALSE
2083,01/04/2011,2,0,4,15,0,5,1,1,0.34,0.303,0.46,0.4179,30,81,111,FALSE
2084,01/04/2011,2,0,4,16,0,5,1,1,0.34,0.303,0.46,0.4179,42,125,167,FALSE
2085,01/04/2011,2,0,4,17,0,5,1,1,0.34,0.303,0.46,0.3284,36,245,281,TRUE
2086,01/04/2011,2,0,4,18,0,5,1,1,0.34,0.303,0.46,0.3284,36,205,241,TRUE
2087,01/04/2011,2,0,4,19,0,5,1,1,0.34,0.303,0.49,0.3284,16,120,136,FALSE
2088,01/04/2011,2,0,4,20,0,5,1,1,0.32,0.3182,0.53,0.194,2,75,77,FALSE
2089,01/04/2011,2,0,4,21,0,5,1,1,0.32,0.3333,0.53,0.1343,9,84,93,FALSE
2090,01/04/2011,2,0,4,22,0,5,1,1,0.3,0.303,0.56,0.1642,10,64,74,FALSE
2091,01/04/2011,2,0,4,23,0,5,1,1,0.3,0.3182,0.61,0.0896,12,41,53,FALSE
2092,02/04/2011,2,0,4,0,0,6,0,2,0.3,0.3333,0.61,0,3,29,32,FALSE
2093,02/04/2011,2,0,4,1,0,6,0,1,0.26,0.2727,0.65,0.1343,4,28,32,FALSE
2094,02/04/2011,2,0,4,2,0,6,0,1,0.24,0.2424,0.75,0.1343,1,20,21,FALSE
2095,02/04/2011,2,0,4,3,0,6,0,1,0.24,0.2424,0.7,0.1642,1,8,9,FALSE
2096,02/04/2011,2,0,4,4,0,6,0,1,0.24,0.2424,0.7,0.1642,0,5,5,FALSE
2097,02/04/2011,2,0,4,5,0,6,0,2,0.24,0.2424,0.75,0.1642,1,4,5,FALSE
2098,02/04/2011,2,0,4,6,0,6,0,1,0.26,0.2727,0.7,0.1045,5,7,12,FALSE
2099,02/04/2011,2,0,4,7,0,6,0,2,0.26,0.2727,0.7,0.1045,2,16,18,FALSE
2100,02/04/2011,2,0,4,8,0,6,0,1,0.3,0.3182,0.7,0.1045,10,45,55,FALSE
2101,02/04/2011,2,0,4,9,0,6,0,2,0.34,0.3485,0.66,0.1045,22,65,87,FALSE
2102,02/04/2011,2,0,4,10,0,6,0,2,0.36,0.3485,0.57,0.1642,41,113,154,FALSE
2103,02/04/2011,2,0,4,11,0,6,0,2,0.4,0.4091,0.47,0.1642,72,126,198,TRUE
2104,02/04/2011,2,0,4,12,0,6,0,3,0.32,0.3333,0.81,0.1343,84,100,184,FALSE
2105,02/04/2011,2,0,4,13,0,6,0,1,0.34,0.3333,0.81,0.1343,56,81,137,FALSE
2106,02/04/2011,2,0,4,14,0,6,0,3,0.32,0.303,0.76,0.3284,97,93,190,TRUE
2107,02/04/2011,2,0,4,15,0,6,0,3,0.34,0.303,0.76,0.3881,72,64,136,FALSE
2108,02/04/2011,2,0,4,16,0,6,0,1,0.38,0.3939,0.62,0.3284,111,85,196,TRUE
2109,02/04/2011,2,0,4,17,0,6,0,1,0.38,0.3939,0.54,0.3582,89,95,184,FALSE
2110,02/04/2011,2,0,4,18,0,6,0,1,0.38,0.3939,0.54,0.194,69,110,179,FALSE
2111,02/04/2011,2,0,4,19,0,6,0,1,0.36,0.3333,0.53,0.3582,71,77,148,FALSE
2112,02/04/2011,2,0,4,20,0,6,0,1,0.34,0.3182,0.53,0.2836,29,56,85,FALSE
2113,02/04/2011,2,0,4,21,0,6,0,1,0.32,0.303,0.61,0.2537,24,53,77,FALSE
2114,02/04/2011,2,0,4,22,0,6,0,1,0.32,0.303,0.61,0.2985,14,41,55,FALSE
2115,02/04/2011,2,0,4,23,0,6,0,1,0.32,0.3182,0.61,0.1642,20,33,53,FALSE
2116,03/04/2011,2,0,4,0,0,0,0,1,0.3,0.2879,0.65,0.194,8,31,39,FALSE
2117,03/04/2011,2,0,4,1,0,0,0,1,0.3,0.3182,0.61,0.1045,8,26,34,FALSE
2118,03/04/2011,2,0,4,2,0,0,0,1,0.26,0.2727,0.7,0.1343,5,19,24,FALSE
2119,03/04/2011,2,0,4,3,0,0,0,1,0.3,0.3333,0.61,0,3,8,11,FALSE
2120,03/04/2011,2,0,4,4,0,0,0,1,0.28,0.303,0.7,0.0896,3,0,3,FALSE
2121,03/04/2011,2,0,4,5,0,0,0,1,0.28,0.2727,0.65,0.2239,1,4,5,FALSE
2122,03/04/2011,2,0,4,6,0,0,0,1,0.28,0.2727,0.65,0.194,10,23,33,FALSE
2123,03/04/2011,2,0,4,7,0,0,0,1,0.32,0.303,0.57,0.2239,13,20,33,FALSE
2124,03/04/2011,2,0,4,8,0,0,0,1,0.34,0.3333,0.57,0.1642,18,44,62,FALSE
2125,03/04/2011,2,0,4,9,0,0,0,1,0.36,0.3182,0.5,0.4925,68,74,142,FALSE
2126,03/04/2011,2,0,4,10,0,0,0,1,0.4,0.4091,0.43,0.4179,111,104,215,TRUE
2127,03/04/2011,2,0,4,11,0,0,0,1,0.42,0.4242,0.41,0.2537,139,104,243,TRUE
2128,03/04/2011,2,0,4,12,0,0,0,1,0.44,0.4394,0.38,0.2836,166,147,313,TRUE
2129,03/04/2011,2,0,4,13,0,0,0,1,0.44,0.4394,0.33,0.2985,219,148,367,TRUE
2130,03/04/2011,2,0,4,14,0,0,0,1,0.46,0.4545,0.31,0.1343,240,109,349,TRUE
2131,03/04/2011,2,0,4,15,0,0,0,2,0.46,0.4545,0.33,0,174,118,292,TRUE
2132,03/04/2011,2,0,4,16,0,0,0,2,0.46,0.4545,0.31,0.194,147,156,303,TRUE
2133,03/04/2011,2,0,4,17,0,0,0,2,0.46,0.4545,0.28,0.1343,148,126,274,TRUE
2134,03/04/2011,2,0,4,18,0,0,0,2,0.46,0.4545,0.31,0,71,101,172,FALSE
